what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776186296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776186406
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776217046
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776222156
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776224187
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1239776224203
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776228937
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776240156
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1239776240187
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776243765
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776280859
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.help.aboutAction,1239776280875
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776285515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776296406
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1239776296421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776298484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776300796
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1239776300875
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1239776300875
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1239776300906
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239776301015
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1239776301171
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1239776301250
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1239776301265
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1239776301265
